head,tail,relation,context
鼻窦炎,肺功能,检查-辅助诊断-疾病,肺功能检查可出现阻塞性通气功能障碍CT弥漫性泛细支气管炎 主要发生在亚洲人群中，多为男性非吸烟者，患者几乎均有慢性鼻窦炎， 胸片和高分辨率 示弥漫性小叶中央结X CT节影和过度充气...
阻塞性睡眠呼吸暂停,肺功能,检查-辅助诊断-疾病,"肺功能检查可出现阻塞性通气功能障碍fmx_TRoZXJNaXJybJz· · 中华全科医师杂志 年 月第 卷第 期Chin J Gen Pract, June, Vol., No.（九）阻塞性睡眠呼吸"
心力衰竭,CT,检查-辅助诊断-疾病,. X胸腔超声 必要时行超声、胸部 检查. CT心律失常（心房颤动、 心电图、 新出现的心悸和呼吸急促，心电图、 、心电监测常可诊断Hotler Holter心房扑动）急性冠状动脉综合征 心电图 呼吸
心力衰竭,心电图,检查-辅助诊断-疾病,...超声 必要时行超声、胸部 检查. CT心律失常（心房颤动、 心电图、 新出现的心悸和呼吸急促，心电图、 、心电监测常可诊断Hotler Holter心房扑动）急性冠状动脉综合征 心电图 呼吸困难
肺癌,CT,检查-辅助诊断-疾病,目前市面上存在‑CTC FeNO往检查仍无法明确病因，或针对常见病因治疗无 多种品牌的 检测仪器，但健康人参考值尚未FeNO效，或怀疑支气管扩张、肺癌或异物等少见病因的 完全统一，且诊断嗜酸粒细胞性气
变应性鼻炎,CT,检查-辅助诊断-疾病,CTC部 检查有助于发现气管壁增厚、气管壁钙化、气 （）变应原皮试和血清 检查：用于检测患CTIgE管狭窄、支气管扩张等，对于一些少见的慢性咳嗽 者是否存在特应质和确定变应原类型，有助于变应病因，如支
心血管疾病,血气分析,检查-辅助诊断-疾病,...疗单位可通过 指数评估预后BODE（ ）再次评估血氧饱和度和血气分析有助于更准确判断是否需要长期氧疗（ ）识别和评估急性加重风险和原因：准确识别患者急性加重风险有助于针对性治疗（ ）评估是否存在
右心衰竭,血气分析,检查-辅助诊断-疾病,肺功能检查 a（）脉搏氧饱和度（ ）监测和动脉血气分析：当SpO患者临床症状提示有呼吸衰竭或右心衰竭时应监使用支气管舒张剂后 使用支气管舒张剂后测 。
心血管疾病,肺功能,检查-辅助诊断-疾病,...是否存在合并症以及是否给予相应治疗，如合并其他呼吸系统病变、心血管疾病、骨质疏松、营养不良等注： 指数包含 占预计值 、 步行距离、 评分和体重指数 个方面，总分 分，可预测慢阻肺患者生存率BO
慢性阻塞性肺疾病,血嗜酸粒细胞计数,检查-辅助诊断-疾病,...CS隆 溴 铵 （ ）［ ］ 、乌 美 溴 铵 异质性，外周血嗜酸粒细胞计数可用于指导 的‐glycopyrronium ICS（ ）［...
支气管哮喘,血嗜酸粒细胞计数,检查-辅助诊断-疾病,对于血嗜酸粒细胞计数 个≥/数 个 的急性加重高风险患者，使用 或合并哮喘的患者...
肺炎,CT,检查-辅助诊断-疾病,（）肺炎球菌疫苗：多项 研究显示，慢阻肺long‐term oxygen therapy LTOTRCT态下严重低氧血症患者的生存率，对血流动力学、 患者接种肺炎球...
呼吸衰竭,呼吸频率,检查-辅助诊断-疾病,慢阻肺患急性加重合并 型呼吸衰竭患者首选的呼吸支持 PEEP%Ⅱ 者的撤机过程可能会遇到困难，有创与无创序贯性方式［， ］，可改善患者呼吸性酸中毒，降低 、PaCO机械通气策略有助于早日撤机［呼吸频率
慢性阻塞性肺疾病,呼吸频率,检查-辅助诊断-疾病,...H≥);疗与必要的呼吸支持 低血压时应用血管活性药物 窘迫 呼吸频率 次 对常规氧疗或; ( >/min); NIV如多巴胺 间...
肺癌,肺功能,检查-辅助诊断-疾病,...气流受限严重程度的合并症包括心血管疾病、代谢综合征、骨质疏松肺功能分级［症、抑郁和焦虑、肺癌、营养不良和骨骼肌功能障占预计值百分比（使用肺功能分级 气流...
慢性阻塞性肺疾病,吸气流速,检查-辅助诊断-疾病,"吸气流速 以实现吸呼比达到严重的血流动力学不稳定 , 对液体疗法和血管活性药物无反应 (~L/min),严重的室性心律失常 或 延长呼气时间 同时满足∶∶, , AECOPD威胁生命的低氧血症 不能耐"
慢性支气管炎,CT,检查-辅助诊断-疾病,图慢性支气管炎、肺气肿、慢性阻塞性肺疾病和支气管哮喘的关系示意图表证据质量和推荐强度分级标准证据质量 证据等级 解释 慢性支气管炎是气管、支气管黏膜及其周围组证据来自高质量的随机对照试验（ ）或 织的
支气管哮喘,CT,检查-辅助诊断-疾病,图慢性支气管炎、肺气肿、慢性阻塞性肺疾病和支气管哮喘的关系示意图表证据质量和推荐强度分级标准证据质量 证据等级 解释 慢性支气管炎是气管、支气管黏膜及其周围组证据来自高质量的随机对照试验（ ）或 织的
慢性支气管炎,肺功能,检查-辅助诊断-疾病,当专家意见 CT患者表现为慢性支气管炎和肺气肿时，一定要进推荐强度 推荐等级强推荐 一步行肺功能检查，以判断患者是否达到慢阻肺弱推荐 的诊断标准，一旦达到即...
肺癌,血气分析,检查-辅助诊断-疾病,以协助除外其他肺部疾病，如肺癌、支气管扩张症、 （）推荐项目包括：动脉血气分析、痰培养、胸肺纤维化等。
支气管扩张,血气分析,检查-辅助诊断-疾病,以协助除外其他肺部疾病，如肺癌、支气管扩张症、 （）推荐项目包括：动脉血气分析、痰培养、胸肺纤维化等。
呼吸衰竭,心电图,检查-辅助诊断-疾病,...O饱和度可用于评估患者是否需要氧疗，对于有呼吸 动图、 动态心电图（ ）、肺容量和弥散功能h Holter困难、呼吸衰竭或心力衰竭临床体征的患者应进行 检查、 步行试验（ ， ）、...
心血管疾病,心电图,检查-辅助诊断-疾病,... 肽 前 体（B N⁃terminal pro⁃B⁃type心电图：对于慢阻肺是否合并肺源性心脏病 ， ） 、 二 聚 体. natriuretic peptide NT⁃proBNP D⁃以及
肺结核,CT,检查-辅助诊断-疾病,患者%~% CT慢阻肺应与哮喘、支气管扩张症、充血性心力 往往吸烟史较长，每日痰量较大，加重次数较多，肺衰竭、肺结核和弥漫性泛细支气管炎等相鉴别，尤 功能较差，炎症生物标志物水...
鼻窦炎,CT,检查-辅助诊断-疾病,肺功能检查可出现阻塞性通气功能障碍CT弥漫性泛细支气管炎 主要发生在亚洲人群中，多为男性非吸烟者，患者几乎均有慢性鼻窦炎， 胸片和高分辨率 示弥漫性小叶中央结X CT节影和过度充气...
肺炎,肺功能,检查-辅助诊断-疾病,近年研究发现，苗包括肺炎球菌多糖结合疫苗（PCV ）和肺炎球菌 用于降脂治疗的他汀类药物在慢阻肺的治疗中可能多糖疫苗（PPV ），其多糖抗原主要用于诱导特异 具有抗炎、改善肺功能、延缓病情恶化等作用［
慢性阻塞性肺疾病,血常规,检查-辅助诊断-疾病,AECOPD血常规 血红细胞计数及血细胞比容有助 者血浆 浓度可以升高 合并左...
肺栓塞,CT,检查-辅助诊断-疾病,必要时行胸部 检查CT肺栓塞 临床可能性评估（咯血、外科 低氧血症与慢阻肺的严重程度不一...
肺栓塞,心电图,检查-辅助诊断-疾病,必要时行胸部 检查CT肺栓塞 临床可能性评估（咯血、外科 低氧血症与慢阻肺的严重程度不一致，低血压，深静脉血栓形成，心电图手术史、骨折、恶性肿瘤病 新出现的心房颤动、右束支传导阻滞、...
慢性阻塞性肺疾病,脉搏血氧,检查-辅助诊断-疾病,...等、 、 、 、 、 、 、 ( )、注 为无创机械通气 为慢性阻塞性肺疾病急性加重 为脉搏血氧饱和度:NIV ;AECOPD ;SpOfmx_TRoZXJ...
肺炎,呼吸频率,检查-辅助诊断-疾病,...症状，如流涕、喷嚏、鼻塞和鼻后 气管炎的患者，如心率 次 、呼吸频率≤/min ≤滴流感、咽喉刺激感或不适，可伴发热，全身症状较 次 、体温 且胸部无异常体征者，患肺炎/min ≤℃少［ ］。
心血管疾病,CT,检查-辅助诊断-疾病,...，本专家共识制订方法 应对急性加重发生率、肺功能下降率、胸部CT扫描、本共识写作组围绕中国慢阻肺中西医结合管理应 心血管疾病及肺癌发病风险等进行综合评估。
红细胞增多症,血常规,检查-辅助诊断-疾病,"AECOPD血常规 血红细胞计数及血细胞比容有助 者血浆 浓度可以升高 合并左心室衰NT-proBNP ,于了解红细胞增多症或有无出血或贫血血白细胞 竭时升高更明显[-]肌钙蛋白常被用..."
贫血,血常规,检查-辅助诊断-疾病,"AECOPD血常规 血红细胞计数及血细胞比容有助 者血浆 浓度可以升高 合并左心室衰NT-proBNP ,于了解红细胞增多症或有无出血或贫血血白细胞 竭时升高更明显[-]肌钙蛋白常被用于评估急性计数通"
呼吸衰竭,CT,检查-辅助诊断-疾病,使用参附注射液辅助治疗较对照组，可减少患者有创通另项RCT研究（例）[]联用痰热清注射液较 气时间（MD -.，%CI：-.~-.）、总机械通气对照组，可有效改善慢阻肺急性加重期合并呼吸衰竭患 时间（
肺动脉高压,吸气流速,检查-辅助诊断-疾病,"...导致 加重 一般, DPH ,~严重误吸或持续呕吐次 即可 吸气流速 通常选择较高的长期不能排出呼吸道的分泌物/min 。"
右心衰竭,心电图,检查-辅助诊断-疾病,AECOPD 、利尿剂 利尿剂适用于顽固性右心衰竭 听诊区第二心音亢进 第三心音 收缩期三尖瓣杂、 、 、明显水肿及合并急性左心衰竭的 患者 音等体征支持肺动脉高压的推断 而心电图可见右AECOPD 
肺动脉高压,CT,检查-辅助诊断-疾病,另有 安全性：纳入的项研究（例）[，，]中，项项RCT研究[]报告，联合补肺活血胶囊治疗例 研究[]无安全性报告，项研究[]报告未发生不良反应，慢阻肺合并肺动脉高压患者周，记录不良反应包括项研究[]报
慢性阻塞性肺疾病,支气管舒张剂,药物-治疗-疾病,表中西医联合防治慢性阻塞性肺疾病临床应用指南推荐意见摘要分期/合并症 目的 适用人群 证候 西医基础治疗 推荐意见 推荐级别 证据等级稳定期 改善生活 慢阻肺稳定期 肺气虚证：易感冒，反复急性 参考G
慢性阻塞性肺疾病,长效β2受体激动剂,药物-治疗-疾病,obstructive lung disease，GOLD）建议血嗜酸粒细胞慢阻肺的免疫调节治疗计数> 个/μl的慢阻肺...
慢性阻塞性肺疾病,吸入药物,药物-治疗-疾病,表中西医联合防治慢性阻塞性肺疾病临床应用指南推荐意见摘要分期/合并症 目的 适用人群 证候 西医基础治疗 推荐意见 推荐级别 证据等级稳定期 改善生活 慢阻肺稳定期 肺气虚证：易感冒，反复急性 参考G
慢性阻塞性肺疾病,长效毒蕈碱拮抗剂,药物-治疗-疾病,对于既往吸烟且当前未给药时间ww吸烟人群，相对风险RR=.，基于上 入组人数年龄±±±±述数据，Itepekimab已启...
慢性阻塞性肺疾病,ICS联合LABA,药物-治疗-疾病,...RIFY-当下吸烟%%%%/两项Ph临床研究，主要入组既往吸ICS+LABA+LAMA（%） ICS+LABA+LAMA（~%）ICS+L...
慢性阻塞性肺疾病,吸入性糖皮质激素,药物-治疗-疾病,...初始禁忌证或对 无有效应答，应降级减少或更换ICS ICS图慢性阻塞性肺疾病稳定期药物治疗的随访及流程· · 中华结核和呼吸杂志 年 月...
慢性阻塞性肺疾病,LABA联合LAMA,药物-治疗-疾病,表中西医联合防治慢性阻塞性肺疾病临床应用指南推荐意见摘要分期/合并症 目的 适用人群 证候 西医基础治疗 推荐意见 推荐级别 证据等级稳定期 改善生活 慢阻肺稳定期 肺气虚证：易感冒，反复急性 参考G
肺栓塞,线胸片,药物-治疗-疾病,住院患者首选气胸 线胸片或超声 SABA SAMA胸腔积液 X 线胸片或超声 雾化吸入给药，而门诊家庭治疗可采用经储物罐吸肺栓塞 二聚体和（或）下肢静脉彩超、D‐ 入定量气雾剂的方法或家庭...
肺栓塞,短效β2受体激动剂,药物-治疗-疾病,... 线胸片或超声 雾化吸入给药，而门诊家庭治疗可采用经储物罐吸肺栓塞 二聚体和（或）下肢静脉彩超、D‐ 入定量气雾剂的方法或家庭...
慢性阻塞性肺疾病,糖皮质激素,药物-治疗-疾病,"...气胸 新发生的严重呼吸衰竭 线胸片可疑支 使用支气管舒张剂 糖皮质激素和口服抗菌药物, ,X 、气管扩张症 肺不张 胸腔积液 心包..."
心血管疾病,吸入药物,药物-治疗-疾病,在吸入药物治疗的基础上，有研 及急性加重后至少 内，合并缺血性心脏病的d究表明 抑制剂（罗氟司特）［ ］、大环内酯类 高风险患者发生心血管事件（死亡、心肌梗死、卒PDE‐抗生素［ ］及对维生素 重度缺
心肌梗死,吸入药物,药物-治疗-疾病,在吸入药物治疗的基础上，有研 及急性加重后至少 内，合并缺血性心脏病的d究表明 抑制剂（罗氟司特）［ ］、大环内酯类 高风险患者发生心血管事件（死亡、心肌梗死、卒PDE‐抗生素［ ］及对维生素 重度缺
心肌梗死,长效β2受体激动剂,药物-治疗-疾病,...性心脏病指南进行，无论是治疗心支气管舒张剂LABA 绞痛或是心肌梗死，应用高选择性 受体阻滞剂治LAMA β疗是安全的，如有应用...
心肌梗死,长效毒蕈碱拮抗剂,药物-治疗-疾病,...性心脏病指南进行，无论是治疗心支气管舒张剂LABA 绞痛或是心肌梗死，应用高选择性 受体阻滞剂治LAMA β疗是安全的，如有应用...
心肌梗死,LABA联合LAMA,药物-治疗-疾病,...措施疗，应按照缺血性心脏病指南进行，无论是治疗心支气管舒张剂LABA 绞痛或是心肌梗死，应用高选择性 受体阻滞剂治LAMA β疗是安全的，如有应用...
心肌梗死,吸入性糖皮质激素,药物-治疗-疾病,...性心脏病指南进行，无论是治疗心支气管舒张剂LABA 绞痛或是心肌梗死，应用高选择性 受体阻滞剂治LAMA β疗是安全的，如有应用...
心肌梗死,ICS联合LABA,药物-治疗-疾病,...性心脏病指南进行，无论是治疗心支气管舒张剂LABA 绞痛或是心肌梗死，应用高选择性 受体阻滞剂治LAMA β疗是安全的，如有应用指证，则获益多于潜在风LABA+LAMA包含 的复合制剂ICS I
心力衰竭,支气管舒张剂,药物-治疗-疾病,对于接受长效支气管舒张剂治疗的慢阻肺肺减容术患者，如呼吸困难无明显好转，应注意心力衰竭。
慢性阻塞性肺疾病,受体阻断剂,药物-治疗-疾病,...素 慢阻肺患者心力衰竭的治疗应按照心力衰竭指南进行，选择性 受体阻断剂用于有明确的心血管适七、慢阻肺与合并症应症的慢阻肺患者，不推...
心力衰竭,受体阻断剂,药物-治疗-疾病,肺康复补充维生素 慢阻肺患者心力衰竭的治疗应按照心力衰竭指南进行，选择性 受体阻断剂用于有明确的心血管适七、慢阻肺与合并症应症的慢阻肺患者，不推...
肺癌,短效β2受体激动剂,药物-治疗-疾病,...因可能诱发心房颤动，不利于控制心室 （ ）筛查可及时发现早期肺癌，可作为改善CT LDCT率［ ， ］。
支气管炎,抗菌药物,药物-治疗-疾病,（）减充血剂与抗组胺药：减充血剂与第一 外证据表明，抗菌药物治疗对急性气管 支气管炎A‑代抗组胺药物联合应用能明显缓解咳嗽，改善打喷 患者的咳嗽...
支气管哮喘,口服抗菌药物,药物-治疗-疾病,相关检查，治疗 感冒 急性支 其他 哮喘 慢性支 支气管 其他气管炎 气管炎 扩张 如有明确细菌感染征象，如咳脓性图急性咳嗽的诊断流程图 痰或外周血白细胞计数增高者，可· · 中华全科医师杂志 年 月
支气管炎,激动剂,药物-治疗-疾病,...咳嗽，感染因素依旧存在，可能需要抗感染治疗，前，伴喘息的急性支气管炎成人患者，使用 受体 建议考虑此部分患者转诊至专科医院，明确其感染激动剂可能受益。
慢性阻塞性肺疾病,抗胆碱能药物,药物-治疗-疾病,新近的临床研究显示， 三联ICS+LABA+LAMA抗胆碱能药物：通过阻断 和 胆碱受 药物方案较 在减少急性加重、改善肺功...
慢性阻塞性肺疾病,短效β2受体激动剂,药物-治疗-疾病,. SABA三、慢阻肺急性加重的诊断和鉴别诊断中度：可以在门诊治疗，需要使用 和. SABA（一）慢阻肺急性加重的诊断抗...
慢性阻塞性肺疾病,激动剂,药物-治疗-疾病,...长效 推荐意见 ：细菌溶解产物、磷酸二酯酶抑制剂、β -受体激动剂（long acting beta-agonists，LAB...
支气管炎,减充血剂,药物-治疗-疾病,（）减充血剂与抗组胺药：减充血剂与第一 外证据表明，抗菌药物治疗对急性气管 支气管炎A‑代抗组胺药物联合应用能明显缓解咳嗽，改善打喷 患者的咳嗽...
支气管炎,第一代抗组胺药物,药物-治疗-疾病,单用第一代抗组胺药物治疗无明 菌药物治疗急性气管 支气管炎（ ）。
鼻窦炎,糖皮质激素,药物-治疗-疾病,推荐应用鼻用糖皮质激素口咽部黏膜可呈鹅卵石样改变或咽后壁附有黏脓 激素治疗伴有鼻息肉的慢性鼻窦炎，可避免不必要性分泌物。
非变应性鼻炎,减充血剂,药物-治疗-疾病,是哮喘的一种特殊类型，咳嗽是其唯一或CVA（）病因治疗： 非变应性鼻炎以及普通感冒： 主要临床表现，无明显喘息、气促等症状，但存在气推荐首选口服第一代抗组胺药和减充血剂治 道高反应性。
慢性阻塞性肺疾病,苏子降气丸,药物-治疗-疾病,研究证据表明［-］，中医辨证治疗、中西医结合中成药:) 苏子降气丸( 证据级别: D; 推荐强 治疗COPD 稳定期的疗效较安...
肺炎,糖皮质激素,药物-治疗-疾病,非药物干预措施包 不超过 d，超过 d的口服糖皮质激素与慢阻肺急括患者教育、肺康复治疗、长期氧疗、家庭无创通气、 性加重肺炎及死亡风险增加有关。
慢性阻塞性肺疾病,抗菌药物,药物-治疗-疾病,"西班牙 诊断和治疗指南中抗菌药物 患者 临床上发现合并医院获得性肺炎AECOPD AECOPD ,推荐[]:()对于无铜绿假单胞菌感染危 或者呼吸机相关性肺炎可以结合影像学痰液性状险因素的患者 主要依"
支气管哮喘,糖皮质激素,药物-治疗-疾病,...染痰中EOS增多提 并心肌损伤都会增加患者死亡风险[]因此示糖皮质激素治疗反应性好[] 心电图异常或呼吸困难比 预期更严重AECO...
心力衰竭,抗菌药物,药物-治疗-疾病,... ( )异常表现包括右心房增大 右心室肥厚 右束支传 有使用抗菌药物或口服糖皮质激素治疗 病程迁、 、 ( 、导阻滞 肢体导联电压低 型 电轴右 延 每年急性加重超过 次、 、SSS、 、、FE
心力衰竭,糖皮质激素,药物-治疗-疾病,...现包括右心房增大 右心室肥厚 右束支传 有使用抗菌药物或口服糖皮质激素治疗 病程迁、 、 ( 、导阻滞 肢体导联电压低 型 电轴右 延 每年急性加重超过 次、 、SSS、 、、FEV%pred<
呼吸衰竭,支气管舒张剂,药物-治疗-疾病,"...受药物治疗 包括, , AECOPD ,杂气胸 新发生的严重呼吸衰竭 线胸片可疑支 使用支气管舒张剂 糖皮质激素和口服抗菌药物, ,X 、气管扩张症 肺不张 胸..."
呼吸衰竭,糖皮质激素,药物-治疗-疾病,"...受药物治疗 包括, , AECOPD ,杂气胸 新发生的严重呼吸衰竭 线胸片可疑支 使用支气管舒张剂 糖皮质激素和口服抗菌药物, ,X 、气管扩张症 肺不张 胸腔积液 心包..."
慢性阻塞性肺疾病,口服抗菌药物,药物-治疗-疾病,"...的严重呼吸衰竭 线胸片可疑支 使用支气管舒张剂 糖皮质激素和口服抗菌药物, ,X 、气管扩张症 肺不张 胸腔积液 心包积液 肺部 等..."
呼吸衰竭,口服抗菌药物,药物-治疗-疾病,"...受药物治疗 包括, , AECOPD ,杂气胸 新发生的严重呼吸衰竭 线胸片可疑支 使用支气管舒张剂 糖皮质激素和口服抗菌药物, ,X 、气管扩张症 肺不张 胸腔积液 心包积液 肺部 等..."
肺炎,抗菌药物,药物-治疗-疾病,"西班牙 诊断和治疗指南中抗菌药物 患者 临床上发现合并医院获得性肺炎AECOPD AECOPD ,推荐[]:()对于无铜绿假单胞..."
右心衰竭,支气管舒张剂,药物-治疗-疾病,"...失常治疗手段 治疗手段参见 肺血栓栓塞症AECOPD “并发右心衰竭时 有效地控制呼吸道感 诊治与预防指南 []和 急性肺血栓栓塞症诊断AECOPD , ” “染 应用支气管舒张剂 改善缺氧和高"
慢性阻塞性肺疾病,羧甲司坦,药物-治疗-疾病,...祛痰药 重且外周血 升高的慢阻肺患者能有效减少慢⁃EOS例如羧甲司坦和 乙酰半胱氨酸（ ）可减少未使 阻肺急性加重和改善肺功能［...
支气管哮喘,吸入性糖皮质激素,药物-治疗-疾病,因此， 六、对于支气管哮喘（简称哮喘）慢阻肺重叠ICS ‐即使 中未将肺结核列为慢阻肺...
肺结核,吸入性糖皮质激素,药物-治疗-疾病,...、对于支气管哮喘（简称哮喘）慢阻肺重叠ICS ‐即使 中未将肺结核列为慢阻肺的合并症，国 的诊断治疗及管理GOLD内制定慢阻肺...
肺结核,LABA联合LAMA,药物-治疗-疾病,感染或近期有肺结核感染的患者，应谨慎使用LABA+LAMA长效 受体激动剂（ ， ［ ］。
肺结核,激动剂,药物-治疗-疾病,感染或近期有肺结核感染的患者，应谨慎使用LABA+LAMA长效 受体激动剂（ ， ［ ］。
慢性阻塞性肺疾病,恩塞芬汀,药物-治疗-疾病,...戏 注册 登录Ohtuvayre(ensifentrine，恩塞芬汀)【Ohtuvayre适应症和用途】OHTUVAYRE是一种磷酸二酯酶(PDE)抑制剂和磷酸二酯酶(PDE)抑制剂，用于成人慢
慢性阻塞性肺疾病,免疫调节剂,药物-治疗-疾病,...质队列研究的系统综述单个队列研究（包括低质量随机对照研究，《慢性阻塞性肺疾病诊治指南（ 年修订b如随访率<%）版）》［］中关于慢阻肺治疗的内容提及免疫调节剂c 结局性研究：生态学研究治疗，推荐慢
慢性阻塞性肺疾病,磷酸二酯酶抑制剂,药物-治疗-疾病,...μl的慢阻肺患者初始治疗采用长效 推荐意见 ：细菌溶解产物、磷酸二酯酶抑制剂、β -受体激动剂（long acting beta-ago...
慢性阻塞性肺疾病,他汀类药物,药物-治疗-疾病,...究表明，流感疫苗可减轻重症慢阻肺患者临床症状并 推荐意见 ：他汀类药物及维生素D等具有免疫降低患者死亡率，且与安慰剂对照组相比，流...
支气管扩张,免疫调节剂,药物-治疗-疾病,...g，与稳定期患者相比也有明显变化，如血清免疫球蛋 其作为一种免疫调节剂，具有调节机体固有免疫和适E-mail:zgqkyx@chinagp.net.cn应性免疫的作用，有助于机体有效清除病毒抗原
肺炎,他汀类药物,药物-治疗-疾病,近年研究发现，苗包括肺炎球菌多糖结合疫苗（PCV ）和肺炎球菌 用于降脂治疗的他汀类药物在慢阻肺的治疗中可能多糖疫苗（PPV ），其多糖抗原主要用于...
慢性阻塞性肺疾病,度普利尤单抗,药物-治疗-疾病,. 《年月原料药相关价格情况 》--❖ 度普利尤单抗COPD适应症获批上市，患者分层或成临床试验的关键：. 《创...
支气管扩张,短效β2受体激动剂,药物-治疗-疾病,◼ 急性加重期治疗：支气管扩张剂优先推荐单用SABA（短效β受体激动剂）或联合SAMA（短效抗胆碱能药物）吸入治疗（住院患者首选雾化...
支气管扩张,激动剂,药物-治疗-疾病,◼ 急性加重期治疗：支气管扩张剂优先推荐单用SABA（短效β受体激动剂）或联合SAMA（短效抗胆碱能药物）吸入治疗（住院患者首选雾...
支气管扩张,抗胆碱能药物,药物-治疗-疾病,◼ 急性加重期治疗：支气管扩张剂优先推荐单用SABA（短效β受体激动剂）或联合SAMA（短效抗胆碱能药物）吸入治疗（住院患者首选雾化吸入，门诊/家庭治疗可采用吸入定...
慢性阻塞性肺疾病,生物制剂,药物-治疗-疾病,...用吸入三联难治患者占比%~%，对应~万人，艾特利单抗/ ST生物制剂渗透率%~%，年用药费用万元，对应市场空间 （Roche/A...
支气管扩张,吸入性糖皮质激素,药物-治疗-疾病,...免疫的作用，有助于机体有效清除病毒抗原及 治疗（包含吸入长效支气管扩张剂及ICS治疗等）但各种抗原抗体复合物，进而提高机体抗病能力...
肺炎,吸入性糖皮质激素,药物-治疗-疾病,...重与其他疾病的鉴别诊断分类 疾病 辅助检查 鉴别要点最常见 肺炎 胸部影像学 发热，听诊有啰音或支气管呼吸音，线胸片显示可疑...
心力衰竭,激动剂,药物-治疗-疾病,心血管不良反应（心肌梗塞、心绞痛、高血压、房颤、心力衰竭、心血管死亡、QT延长、全身性栓塞、中风等）需予以特别关注，并应进行密切监测、评估和说明，尤其是在联合使用长效β 激动剂+抗胆碱药的情况下。
慢性阻塞性肺疾病,线胸片,药物-治疗-疾病,"... J Gen Pract, June, Vol., No.表慢性阻塞性肺疾病（慢阻肺）急性加重与其他疾病的鉴别诊断分类 疾病 辅助检查 鉴别要点最常见 肺炎 胸部影像学 发热，听诊有啰音或支气管"
肺结核,线胸片,药物-治疗-疾病,肺功能检查可出现阻塞性通气功能障碍肺结核 所有年龄均可发病， 线胸片示肺浸润性病灶或结节状、空洞样改变，痰或支气管镜下肺部灌洗标...
支气管哮喘,LABA联合LAMA,药物-治疗-疾病,合并LABA+LAMA ICS+LABAICS+LABA+LAMA 哮喘的患者和近 年发生过 次急A B 性加重且血 个 的患者或 次急性加重并且 一种支气管舒张剂 一种长效支气管舒张剂（ EOS ≥
支气管哮喘,ICS联合LABA,药物-治疗-疾病,合并LABA+LAMA ICS+LABAICS+LABA+LAMA 哮喘的患者和近 年发生过 次急A B 性加重且血 个 的患者或 次急性加重并且 一种支气管舒张剂 一种长效支气管舒张剂（ EOS ≥
支气管哮喘,长效毒蕈碱拮抗剂,药物-治疗-疾病,... 次急A B 性加重且血 个 的患者或 次急性加重并且 一种支气管舒张剂 一种长效支气管舒张剂（ EOS ≥/μlLABA 建议升...
支气管哮喘,支气管舒张剂,药物-治疗-疾病,"... 心悸、 , 、 、等因素是 的重要诱因 近年来 嗜酸粒 对支气管舒张剂的需求增加AECOPD 。"
支气管哮喘,长效β2受体激动剂,药物-治疗-疾病,... 次急A B 性加重且血 个 的患者或 次急性加重并且 一种支气管舒张剂 一种长效支气管舒张剂（ EOS ≥/μlLABA 建议升...
支气管炎,ICS联合LABA,药物-治疗-疾病,...呼吸困难或运动受限 添加罗氟司特（针对 占预计值 ［ ］、慢ICS+LABA FEV%<%的 患 者 ，推 荐 升 级 至 三 联 疗 法（ 性支气管炎且近 年来至少出现 次急性加重住ICS+L
慢性阻塞性肺疾病,黏液溶解剂,药物-治疗-疾病,()氨溴索：是目前临床应用最广泛的黏液动 明以黏液溶解剂为代表的祛痰类药物可降低慢阻肺力药，可刺激呼吸道表面活性剂的...
肺炎,支气管舒张剂,药物-治疗-疾病,"吸入支气管舒张剂 如果以前没有卧床 需能的预防 通常是可以预;() , AECOPD AECOPD在室内行走 能够进食 且呼吸困难程度不影 防的 戒烟 流感疫苗接种和肺炎球菌疫苗接种;() , 。"
肺炎,线胸片,药物-治疗-疾病,...重与其他疾病的鉴别诊断分类 疾病 辅助检查 鉴别要点最常见 肺炎 胸部影像学 发热，听诊有啰音或支气管呼吸音，线胸片显示可疑浸润性阴影，白细胞增多，反应蛋白和降钙素原水平增高；
慢性阻塞性肺疾病,茶碱类药物,药物-治疗-疾病,...液免疫和细胞免疫水平、纠正免疫功能紊乱， 用该药物，且不应与茶碱类药物同时应用［］。
肺栓塞,糖皮质激素,药物-治疗-疾病,"（）家庭 雾化或口服糖皮质激素.
或社区支持不足 有抗菌治疗指征者，在评估病原体、采样后应用抗菌药物有指征者，建议使用无创通气动态监测液体、电解质和酸碱平衡预防深静脉栓塞症评估和处理合并症（如心力衰竭"
肺栓塞,抗菌药物,药物-治疗-疾病,"...
或社区支持不足 有抗菌治疗指征者，在评估病原体、采样后应用抗菌药物有指征者，建议使用无创通气动态监测液体、电解质和酸碱平衡预防深静脉栓塞症评估和处理合并症（如心力衰竭、心律失常、肺栓塞等）符合"
心血管疾病,支气管舒张剂,药物-治疗-疾病,...病，常见的表慢性阻塞性肺疾病患者气流受限严重程度的合并症包括心血管疾病、代谢综合征、骨质疏松肺功能分级［症、抑郁和焦虑、肺癌、营养不良和骨骼肌功能障占预计值百分比（使用肺功能分级 气流受限严重程
心血管疾病,糖皮质激素,药物-治疗-疾病,...入［缺血性心脏病：慢阻肺患者常合并缺血性心长效支气管舒张剂和糖皮质激素联合吸入［］、抗 脏病，但临床上漏诊很常见。
