关系类型	头实体	尾实体	头类型	尾类型	头原文	尾原文	文献编号	匹配类型	精简上下文	审核状态	修改建议	备注	_source
疾病-症状	肺癌	乏力	Disease	Symptom	肺癌	乏力	35_咳嗽中医诊疗专家共识意见（2021）.txt	explicit	) 肺癌: 表现为刺激性呛咳，咳嗽顽固，持) 性质、声音: 咳声洪亮有力多为实证; 咳 续日久不愈，反复咯血痰，出现不明原因的低热、而声低气怯多为虚证; 咳声嘶哑多为燥咳; 咳声重 胸痛、胸闷短气，伴消痩、乏力等症。	待审核			explicit
疾病-症状	鼻窦炎	头痛	Disease	Symptom	鼻窦炎	头痛	35_咳嗽中医诊疗专家共识意见（2021）.txt	explicit	鼻窦炎表现为黏液性或脓性浊涕，常伴咽 热化痰; 痰黄如脓或腥臭，加薏苡仁、冬瓜仁、金喉不利，可有疼痛( 耳面部痛、头痛) 、嗅觉障碍等。	待审核			explicit
疾病-症状	肺炎	呼吸困难	Disease	Symptom	肺炎	呼吸困难	38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁.txt	explicit	...见AECOPD :AECOPD , AECOPD ,阻肺患者呼吸困难和 或 咳嗽 咳痰症状加重 的 种病原体是流感嗜血杆菌 卡他莫拉菌和肺炎( ) 、 ,、症状恶化发生在 内 可能伴有呼吸急促和 链球...	待审核			explicit
疾病-症状	肺炎	咳痰	Disease	Symptom	肺炎	咳痰	38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁.txt	explicit	...COPD , AECOPD ,阻肺患者呼吸困难和 或 咳嗽 咳痰症状加重 的 种病原体是流感嗜血杆菌 卡他莫拉菌和肺炎( ) 、 ,、症状恶化发生在 内 可能伴有呼吸急促和 链球...	待审核			explicit
疾病-症状	肺炎	心动过速	Disease	Symptom	肺炎	心动过速	38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁.txt	explicit	...咳嗽 咳痰症状加重 的 种病原体是流感嗜血杆菌 卡他莫拉菌和肺炎( ) 、 ,、症状恶化发生在 内 可能伴有呼吸急促和 链球菌 其次为铜绿假单胞菌 革兰阴性肠杆菌d , , 、 、或 心动过速 通常是因为呼吸道感染 空气污 金黄色葡萄球菌和副流感嗜血杆...	待审核			explicit
疾病-并发症	慢性阻塞性肺疾病	心绞痛	Disease	Complication	慢阻肺	胸痛	39_2019-对慢性阻塞性肺疾病若干问题的思考.txt	explicit	近年来，大家在这方面做了大量的研究工作，然而，笔者认为，当慢阻肺患者出现以下症状和体征时应 必须看到 临床评估和治疗中存...	待审核			explicit
疾病-并发症	支气管哮喘	心绞痛	Disease	Complication	哮喘	胸痛	38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁.txt	explicit	... 心悸、 , 、 、等因素是 的重要诱因 近年来 嗜酸粒 对支气管舒张剂的需求增加AECOPD 。	待审核			explicit
疾病-症状	慢性阻塞性肺疾病	意识障碍	Disease	Symptom	慢性阻塞性肺疾病	嗜睡	38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁.txt	explicit	,出现心动过速 全身不适 失眠 嗜睡 疲乏 抑 注 为慢性阻塞性肺疾病急性加重 为改良、 、 、 、 、 :AECOPD ;mMR...	待审核			explicit
疾病-症状	支气管哮喘	乏力	Disease	Symptom	哮喘	乏力	39_2019-对慢性阻塞性肺疾病若干问题的思考.txt	explicit	...中存在的一些问ACO高度警惕合并肺癌的可能：不明原因的发热、乏力、 题：（） 的病情评估是按照慢阻肺的 、、、ACOS A ...	待审核			explicit
疾病-症状	肺炎	乏力	Disease	Symptom	肺炎	乏力	39_2019-对慢性阻塞性肺疾病若干问题的思考.txt	explicit	...中存在的一些问ACO高度警惕合并肺癌的可能：不明原因的发热、乏力、 题：（） 的病情评估是按照慢阻肺的 、、、ACOS A B C消瘦、胸痛、咯血、声音嘶哑、浅表淋巴结肿大、杵状 分组方法，还是按照哮喘病情控制水平进行评估指趾、胸腔积液、阻塞性肺炎、阻塞性肺不张、阻塞 呢？	待审核			explicit
疾病-并发症	慢性阻塞性肺疾病	胸腔积液	Disease	Complication	慢阻肺	胸腔积液	42_慢性阻塞性肺疾病急性加重围出院期管理与随访指南（2024年版）-已解锁.txt	explicit	...吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外并发症或合并症也是...	待审核			explicit
疾病-症状	慢性阻塞性肺疾病	腹胀	Disease	Symptom	慢阻肺	腹胀	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	explicit	...吸兴奋剂治疗无效并具备气 照组，联合加味凉膈散能够改善患者的腹胀证候评分管插管指征的患者较对照组，可以有效减少有创机械通 （...	待审核			explicit
疾病-症状	慢性支气管炎	咳痰	Disease	Symptom	慢性支气管炎	咳痰	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	explicit	存在慢性支气管炎图慢阻肺管理流程 的患者采用联合中药固本咳喘颗粒等治疗的临床研究已经完成，结果显示，联合固本咳喘颗粒可改善慢性支气管炎患者的咳嗽咳痰等症状、缩短急性加重持续时间。	待审核			explicit
疾病-症状	慢性阻塞性肺疾病	自汗	Disease	Symptom	慢阻肺	自汗	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	explicit	...SRS评分（MD -，%CI：-.~-.），改善患者悸气短、自汗盗汗等症状，缓解呼吸困难。	待审核			explicit
疾病-症状	肺动脉高压	呼吸困难	Disease	Symptom	肺动脉高压	呼吸困难	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	explicit	...物、升级药物治疗方案至LAMA+LABA、实施或升级非肺合并肺动脉高压患者周，记录不良反应包括血氧 药物治疗措施，检查有无其他原因引起的呼吸困难。	待审核			explicit
疾病-治疗	肺动脉高压	补肺	Disease	Treatment	肺动脉高压	补肺	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	explicit	...：纳入的项研究（例）[，，]中，项项RCT研究[]报告，联合补肺活血胶囊治疗例 研究[]无安全性报告，项研究[]报告未发生不良反应，慢阻肺合并肺动脉高压患者周，记录不良反应包括项研究[]报道，玉屏风颗粒组治疗周观...	待审核			explicit
疾病-治疗	肺动脉高压	活血	Disease	Treatment	肺动脉高压	活血	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	explicit	...入的项研究（例）[，，]中，项项RCT研究[]报告，联合补肺活血胶囊治疗例 研究[]无安全性报告，项研究[]报告未发生不良反应，慢阻肺合并肺动脉高压患者周，记录不良反应包括项研究[]报道，玉屏风颗粒组治疗周观...	待审核			explicit
疾病-症状	慢性阻塞性肺疾病	腹泻	Disease	Symptom	慢阻肺	腹泻	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	explicit	...反应，包括口级肺肾气虚证患者个月，较对照组显著提高MWT干、腹泻、恶心、心悸，治疗组与对照组比较，差异无 水平（MD.，%C...	待审核			explicit
疾病-症状	慢性阻塞性肺疾病	气虚	Disease	Symptom	慢性阻塞性肺疾病	气虚	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	explicit	表中西医联合防治慢性阻塞性肺疾病临床应用指南推荐意见摘要分期/合并症 目的 适用人群 证候 西医基础治疗 推荐意见 推荐级别 证据等级稳定期 改善生活 慢阻肺稳定期 肺气虚证：易感冒，反复急性 参考GOLD治疗策略：联合玉屏风颗粒 ...	待审核			explicit
疾病-症状	慢性阻塞性肺疾病	头晕	Disease	Symptom	慢阻肺	头晕	50_慢性阻塞性肺疾病稳定期中医临床实践指南(征求意见稿)-2020年.txt	explicit	...昏或 二陈汤、全真一气汤、养阴清肺汤等有较好疗效，但目前文献头晕;⑥干咳或少痰、咯痰不爽;⑦盗汗;⑧手足心热;⑨舌质 证据质...	待审核			explicit
疾病-症状	肺动脉高压	头晕	Disease	Symptom	肺动脉高压	头晕	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	explicit	...究[]无安全性报告，项研究[]报告未发生不良反应，慢阻肺合并肺动脉高压患者周，记录不良反应包括项研究[]报道，玉屏风颗粒组治疗周观察不良反血氧饱和度下降、胃肠道症状，与对照组比较，差异无 应包括牙龈炎、牙痛、头晕、急性加重，两组比较差异无统计学意义（P>.）。	待审核			explicit
疾病-治疗	慢性阻塞性肺疾病	益肺灸	Disease	Treatment	慢阻肺	益肺灸	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	explicit	...段临床问题：对于慢阻肺稳定期患者，联合中医外 锦、穴位贴敷、益肺灸治疗可显著改善患者生活质量。	待审核			explicit
疾病-症状	慢性阻塞性肺疾病	流清涕	Disease	Symptom	慢阻肺	流清涕	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	explicit	...贴敷、温针灸治疗可显著改善患者呼吸困难症 恶寒，发热，痰白，流清涕，肢体酸痛，舌苔薄白的患者，状和（或）运动耐量。	待审核			explicit
疾病-症状	慢性阻塞性肺疾病	肢体酸痛	Disease	Symptom	慢阻肺	肢体酸痛	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	explicit	...针灸治疗可显著改善患者呼吸困难症 恶寒，发热，痰白，流清涕，肢体酸痛，舌苔薄白的患者，状和（或）运动耐量。	待审核			explicit
疾病-治疗	慢性阻塞性肺疾病	宣肺止咳	Disease	Treatment	慢阻肺	宣肺止咳	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	explicit	宣肺止咳的功效，联合使用可改善慢阻肺风寒袭肺证使用方法：使用方法见表...	待审核			explicit
疾病-症状	支气管扩张	喘息	Disease	Symptom	支气管扩张	喘息	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	explicit	推荐意见：对于慢阻肺急性加重期咳嗽、喘息、 推荐依据：清肺消炎丸具有清肺化痰，止咳平喘之痰多，舌红苔黄的患者，在氧疗、支气管扩张剂、抗感 功效，可有效缩短慢阻肺患者咳嗽、咳痰、喘息持续时染...	待审核			explicit
疾病-症状	肺炎	意识障碍	Disease	Symptom	肺炎	嗜睡	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	explicit	...疗例老年社推荐意见：对于慢阻肺急性加重期出现喘息气 区获得性肺炎患者~日，其中项研究（例）促，神志恍惚，肢体瘛疭甚则抽搐，嗜...	待审核			explicit
疾病-症状	肺炎	腹泻	Disease	Symptom	肺炎	腹泻	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	explicit	...疗例老年社推荐意见：对于慢阻肺急性加重期出现喘息气 区获得性肺炎患者~日，其中项研究（例）促，神志恍惚，肢体瘛疭甚则抽搐，嗜睡、昏迷、谵妄， 报告出现恶心、呕吐、腹泻等胃肠道症状例，组间苔腻或黄的患者，推荐联合涤痰汤；	待审核			explicit
疾病-症状	呼吸衰竭	腹胀	Disease	Symptom	呼吸衰竭	腹胀	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	explicit	...阻肺常见合并症，患者可表现为功效，可改善慢阻肺急性加重期合并呼吸衰竭患者的咳 恶心、呕吐、腹胀、腹痛等胃肠道症状，常与原有的呼嗽憋喘、四肢冰冷、精神萎靡症...	待审核			explicit
疾病-症状	呼吸衰竭	乏力	Disease	Symptom	呼吸衰竭	乏力	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	explicit	...的胃肠功能具有保护作用，较对照组可降低善慢阻肺急性加重期合并呼吸衰竭患者神疲乏力、心 GSRS评分（MD -，%CI：-.~-.），改善患者...	待审核			explicit
疾病-症状	呼吸衰竭	自汗	Disease	Symptom	呼吸衰竭	自汗	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	explicit	...的胃肠功能具有保护作用，较对照组可降低善慢阻肺急性加重期合并呼吸衰竭患者神疲乏力、心 GSRS评分（MD -，%CI：-.~-.），改善患者悸气短、自汗盗汗等症状，缓解呼吸困难。	待审核			explicit
疾病-症状	慢性阻塞性肺疾病	肺脾气虚	Disease	Symptom	慢阻肺	肺脾气虚证	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	explicit	表中西医联合防治慢性阻塞性肺疾病临床应用指南推荐意见摘要分期/合并症 目的 适用人群 证候 西医基础治疗 推荐意见 推荐级别 证据等级稳定期 改善生活 慢阻肺稳定期 肺气虚证：易感冒，反复急性 参考GOLD治疗策略：联合玉屏风颗粒 强推荐 C质量 患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒张剂，肺脾气虚证：活动后气短，疲 联合补中益气汤 弱推荐 DB组和E组以L...	待审核			explicit
疾病-治疗	支气管扩张	肺康复	Disease	Treatment	支气管扩张	肺康复	50_慢性阻塞性肺疾病稳定期中医临床实践指南(征求意见稿)-2020年.txt	explicit	...生活质量? 是否可延缓肺功能下 慢阻肺稳定期疗法主要推荐使用支气管扩张剂，尤其是吸入降? 是否可改善焦虑抑郁状态? 贴敷治疗/非药物疗法是否 的支气管扩张剂，以及应用肺康复等非药物疗法;而年可改善慢阻肺稳定期结局指标? 发布的慢阻肺...	待审核			explicit
疾病-并发症	慢性阻塞性肺疾病	支气管扩张	Disease	Disease	慢阻肺	支气管扩张	医学知识锚定	anchored	方案B锚定：支气管扩张是慢阻肺的鉴别诊断	保留		由方案B补充锚定边：支气管扩张为慢阻肺鉴别诊断	
疾病-并发症	慢性阻塞性肺疾病	呼吸衰竭	Disease	Disease	慢阻肺	呼吸衰竭	医学知识锚定	anchored	方案B锚定：呼吸衰竭是慢阻肺的严重并发症	保留		由方案B补充锚定边：呼吸衰竭为慢阻肺严重并发症	
